paragraph,familiar_1,understandable_1,word_coherence_1,coherence_1,syntax_compl_1,complexity_1,familiar_2,understandable_2,word_coherence_2,coherence_2,syntax_compl_2,complexity_2,familiar_3,understandable_3,word_coherence_3,coherence_3,syntax_compl_3,complexity_3
"Внутренней называется память, встроенная в компьютер и непосредственно управляемая процессором. Во внутренней памяти хранятся  исполняемые в данный момент программы и оперативно необходимые  для этого данные. Внутренняя память компьютера позволяет передавать процессору и принимать от него данные примерно  с такой же скоростью, с какой процессор их обрабатывает. Поэтому  внутренняя  память  иначе называется  оперативной  (быстрой).  Объём  оперативной памяти современных компьютеров измеряется в гигабайтах.",5,5,5,5,2,2,5,5,5,5,4,3,5,5,5,5,2,1
"Содержащиеся в документах таблицы часто формируются с помощью различных генераторов отчетов из баз данных. Ввод табличной информации из неструктурированных документов в базы данных может рассматриваться как  обратная задача генерации таблиц. В работе предложена система трансформации таблицы от высокоуровневого представления в виде структурного описания к отношению реляционной модели данных. Трансформация состоит в восстановлении недостающих метаданных о таблице (информации об используемых измерениях), необходимых для ее канонизации.",4,3,5,4,3,3,4,5,5,5,3,2,4,4,5,4,3,3
"Особенно широкую популярность персональные компьютеры получили после 1995 года в связи с бурным развитием Интернета. Персонального компьютера вполне достаточно для использования всемирной сети в качестве источника научной, справочной, учебной, культурной и развлекательной информации. Персональные компьютеры являются также удобным средством автоматизации учебного процесса по любым дисциплинам, средством организации дистанционного (заочного) обучения и средством организации досуга. Они вносят большой вклад не только в производственные, но и в социальные отношения. Их нередко используют для организации надомной трудовой деятельности, что особенно важно в условиях безработицы.",5,5,5,5,2,2,4,5,5,5,2,1,5,5,5,5,3,2
"Параметры режима работы энергообъекта, отображающие эксплуатационное состояние оборудования, имеют различную размерность и различный диапазон изменения . При построении идентификационной модели оценки  эксплуатационного состояния оборудования и формировании на ее основе управляющего воздействия в случае отклонения от нормы каких-либо параметров может быть использовано представление контролируемых параметров энергообъекта в виде нечетких переменных.",2,2,3,3,4,4,1,3,5,5,3,4,3,3,3,4,4,3
"Экспертные системы. Предназначены для анализа данных, содержащихся в базах знаний, и выдачи рекомендаций по запросу пользователя. Такие системы применяют в тех случаях, когда исходные данные хорошо формализуются, но для принятия решения требуются обширные специальные знания. Характерными областями использования экспертных систем являются юриспруденция, медицина, фармакология, химия. По совокупности признаков заболевания медицинские экспертные системы помогают установить диагноз и назначить лекарства, дозировку и программу лечебного курса. По совокупности признаков события юридические экспертные системы могут дать правовую оценку и предложить порядок действий как для обвиняющей стороны, так и для защищающейся.",5,5,2,4,3,3,5,5,5,5,3,1,5,5,5,5,2,2
"Отметим также еще один важный вычислительный аспект: задачи моделирования квантовых вентилей представляют собой задачи линейной алгебры высокой размерности. Это предоставляет хорошие перспективы для использования готовых суперкомпьютерных программных средств (Scalapack, Matlab distributed computing и т.п.). Кроме этого, рассматриваемые задачи дают широкие возможности для разработки различных алгоритмов вычислительной математики и использования нестандартных методов оптимизации.",3,3,1,4,2,3,1,5,4,5,3,2,5,5,2,4,3,3
"Как упоминалось ранее, Википедия содержит большое количество многозначных терминов. К настоящему моменту общее количество терминов в статьях английской Википедии составляет примерно 700000 терминов, а среднее количество значений многозначного термина равно 17. При этом практически все сокращения и очень многие часто упоминаемые термины оказываются многозначными. Например, такие часто используемые слова как ""Platform"", ""Function"", ""History"", ""Machine"" являются многозначными, так как есть различные толкования этих терминов в разных предметных областях. Такого рода многозначность терминов приводит к тому, что в произвольном тексте около 40% терминов оказываются многозначными. При этом необходимо выбрать самое подходящее значение многозначного термина, так как от этого очень сильно зависит качество всех последующих методов обработки текста и алгоритмы поиска, классификации и навигации текстов.",5,5,5,5,3,3,5,5,5,5,3,1,5,5,5,5,2,4
"Преобразование данных — перевод данных из одной формы в другую или из одной структуры в другую. Преобразование данных часто связано с изменением типа носителя, например, книги можно хранить в обычной бумажной форме, но можно использовать для этого и электронную форму, и микрофотопленку. Необходимость в многократном преобразовании данных возникает также при их транспортировке, особенно если она осуществляется средствами, не предназначенными для транспортировки данного вида данных. В качестве примера можно упомянуть, что для транспортировки цифровых потоков данных по каналам телефонных сетей (которые изначально были ориентированы только на передачу аналоговых сигналов в узком диапазоне частот) необходимо преобразование цифровых данных в некое подобие звуковых сигналов, чем и занимаются специальные устройства — телефонные модемы.",5,4,5,4,3,3,3,4,3,5,4,2,5,4,5,5,4,2
"Из нее понятно, что для двух динамических областей, границы которых нельзя определить заранее, можно выделить общую зону и организовать в ней встречные направления роста стековой области и области с произвольной дисциплиной распределения. Точная граница между двумя динамическими зонами с разными стратегиями распределения памяти не предусматривается, вместо этого системная поддержка гарантирует проведение постоянного контроля за совокупным размером двух динамических зон. Технологии динамического распределения памяти. Техническая реализация методов управления динамической памяти в значительной степени зависит от тех потребностей, которые демонстрируют пользователи, определяя в своих программах объекты, память для которых должна выделяться на основе динамической стратегии. В ответ на явные запросы пользователей, оформленные в виде явных обращений к системным функциям захвата памяти, обычно выделяются блоки одинакового размера.",5,4,3,2,4,5,5,3,4,5,5,5,4,3,3,3,4,4
"Файловая система — это часть операционной системы, определяющая способ организации, хранения и именования файлов на носителях информации.  Файл характеризуется набором параметров (имя, размер, дата создания, дата последней модификации) и атрибутами, используемыми операционной системой для его обработки (архивный, системный, скрытый, только для чтения). Размер файла выражается в байтах.  Файлы, содержащие данные — графические, текстовые (рисунки,  тексты), называют документами, а файлы, содержащие прикладные  программы, —  файлами-приложениями.  Файлы-документы  создаются и обрабатываются с помощью файлов-приложений.",5,4,3,4,4,3,5,5,5,5,3,2,5,5,5,5,3,1
"Коммерческие программы продаются в специальной упаковке и с сопровождающей документацией. В соответствии с лицензионным  соглашением разработчики программы гарантируют её нормальное  функционирование и несут за это ответственность. Компьютерное  пиратство — преступление, заключающееся в нелегальном копировании, использовании и распространении коммерческого программного  обеспечения. Многие даже не подозревают, что, покупая свободно  продаваемые пиратские «сборники» программного обеспечения, они нарушают закон. Компьютерные пираты, нелегально тиражируя программное обеспечение,  обесценивают труд программистов, делают разработку программ экономически невыгодной. Кроме того, компьютерные пираты зачастую  предлагают пользователям недоработанные программы или их демонстрационные версии.",5,5,2,3,3,3,5,5,5,5,3,1,5,5,5,5,2,1
"Такой программный комплекс должен осуществлять наблюдение за интересующими объектами различной природы, извещать о сбоях и предоставлять средства для их анализа, в удобной форме представлять данные о функционировании системы. Изложенные в статье положения были использованы при разработке прототипа, а затем и рабочей версии системы локального мониторинга Центрального информационновычислительного комплекса (ЦИВК) ОИЯИ.",2,2,1,1,2,4,3,5,3,4,3,2,3,3,3,3,3,2
"Задача упаковки изображения возникает как при сохранении результатов распознавания, так и при длительном хранении изображений. Предлагается формат хранения, состоящий из идеальных образов построенных шрифтов и описаний образов символов. Минимальное описание состоит из пары координат и ссылки на образ идеального символа. Рассмотрим пример простейшего образа отсканированного в разрешении 300 dpi документа, состоящего из 2000 символов одного единственного шрифта. Его компактное представление содержит образы идеальных символов (объемом менее 1 килобайта) и 2000 описаний координат и ссылок на шрифт (4 байта на описание). Без дополнительных ухищрений по упаковке мы достигли объема представления образа менее 10 килобайт. Для сравнения отметим, что объем черно-белого изображения А4 с разрешением 300 dpi, упакованного в формате TIFF Group 4, с аналогичными 2000 образов символов, составляет от 20 до 40 килобайт.",3,3,2,3,3,4,5,4,5,5,3,3,4,4,5,5,3,3
"Для преодоления проблем каскадно-возвратного метода используется спиральная модель жизненного цикла, упор в которой делается на начальные этапы: определение требований, их анализ и проектирование. На этих этапах реализуемость технических решений проверяется путем создания прототипов. Каждый виток спирали соответствует созданию фрагмента или версии программ, на нем уточняются цели и характеристики проекта, определяется качество проектирования, планируются следующие работы. Основная проблема спирального цикла – определение момента перехода на следующий этап. Для ее решения вводят временные ограничения на каждый из этапов жизненного цикла.",5,4,3,5,3,3,4,3,3,4,3,4,5,5,5,5,2,2
